backend/brain/gemini_agent.py:7: error: Module "google" has no attribute "genai"  [attr-defined]
backend/vision/ocr.py:17: error: Incompatible types in assignment (expression has type "None", variable has type Module)  [assignment]
backend/brain/claude_agent.py:238: error: Incompatible return value type (got "list[dict[str, str]]", expected "list[MessageParam]")  [return-value]
backend/tests/test_vision.py:19: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_vision.py:27: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_vision.py:58: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_vision.py:69: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_vision.py:77: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_vision.py:88: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_vision.py:105: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_settings_handler.py:10: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_settings_handler.py:23: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_settings_handler.py:36: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_memory.py:15: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_memory.py:24: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_memory.py:35: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_memory.py:45: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_memory.py:64: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_stt_manager.py:12: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_auth.py:14: error: Missing type arguments for generic type "ndarray"  [type-arg]
backend/tests/test_auth.py:17: error: Returning Any from function declared to return "ndarray[Any, Any]"  [no-any-return]
backend/tests/test_auth.py:34: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_auth.py:67: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_auth.py:78: error: Missing type arguments for generic type "ndarray"  [type-arg]
backend/tests/test_auth.py:92: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_auth.py:102: error: Missing type arguments for generic type "ndarray"  [type-arg]
backend/tests/test_auth.py:148: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_auth.py:155: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_auth.py:168: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_auth.py:179: error: Missing type arguments for generic type "ndarray"  [type-arg]
backend/tests/test_tts.py:32: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_tts.py:38: error: Missing type arguments for generic type "ndarray"  [type-arg]
backend/tests/test_tts.py:49: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_tts.py:58: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_tts.py:64: error: Missing type arguments for generic type "ndarray"  [type-arg]
backend/tests/test_tts.py:75: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_tts.py:99: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_web.py:13: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_web.py:43: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_web.py:58: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_web.py:81: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_web.py:101: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_web.py:123: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_web.py:150: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_stt_vosk.py:42: error: Unused "type: ignore" comment  [unused-ignore]
backend/api/routers/system.py:13: error: Unused "type: ignore" comment  [unused-ignore]
backend/api/routers/system.py:29: error: Unused "type: ignore" comment  [unused-ignore]
backend/api/routers/websocket.py:12: error: Unused "type: ignore" comment  [unused-ignore]
backend/api/routers/websocket.py:26: error: Unused "type: ignore" comment  [unused-ignore]
Found 85 errors in 25 files (checked 101 source files)
